row,col,consumer,natural,permuted
0,0,0,0,0
0,1,0,0,0
0,2,0,1,0
0,3,0,1,0
0,4,1,2,1
0,5,1,2,1
0,6,1,3,1
0,7,1,3,1
0,8,2,0,2
0,9,2,0,2
0,10,2,1,2
0,11,2,1,2
0,12,3,2,3
0,13,3,2,3
0,14,3,3,3
0,15,3,3,3
0,16,0,0,0
0,17,0,0,0
0,18,0,1,0
0,19,0,1,0
0,20,1,2,1
0,21,1,2,1
0,22,1,3,1
0,23,1,3,1
0,24,2,0,2
0,25,2,0,2
0,26,2,1,2
0,27,2,1,2
0,28,3,2,3
0,29,3,2,3
0,30,3,3,3
0,31,3,3,3
1,0,4,4,4
1,1,4,4,4
1,2,4,5,4
1,3,4,5,4
1,4,5,6,5
1,5,5,6,5
1,6,5,7,5
1,7,5,7,5
1,8,6,4,6
1,9,6,4,6
1,10,6,5,6
1,11,6,5,6
1,12,7,6,7
1,13,7,6,7
1,14,7,7,7
1,15,7,7,7
1,16,4,4,4
1,17,4,4,4
1,18,4,5,4
1,19,4,5,4
1,20,5,6,5
1,21,5,6,5
1,22,5,7,5
1,23,5,7,5
1,24,6,4,6
1,25,6,4,6
1,26,6,5,6
1,27,6,5,6
1,28,7,6,7
1,29,7,6,7
1,30,7,7,7
1,31,7,7,7
2,0,8,8,8
2,1,8,8,8
2,2,8,9,8
2,3,8,9,8
2,4,9,10,9
2,5,9,10,9
2,6,9,11,9
2,7,9,11,9
2,8,10,8,10
2,9,10,8,10
2,10,10,9,10
2,11,10,9,10
2,12,11,10,11
2,13,11,10,11
2,14,11,11,11
2,15,11,11,11
2,16,8,8,8
2,17,8,8,8
2,18,8,9,8
2,19,8,9,8
2,20,9,10,9
2,21,9,10,9
2,22,9,11,9
2,23,9,11,9
2,24,10,8,10
2,25,10,8,10
2,26,10,9,10
2,27,10,9,10
2,28,11,10,11
2,29,11,10,11
2,30,11,11,11
2,31,11,11,11
3,0,12,12,12
3,1,12,12,12
3,2,12,13,12
3,3,12,13,12
3,4,13,14,13
3,5,13,14,13
3,6,13,15,13
3,7,13,15,13
3,8,14,12,14
3,9,14,12,14
3,10,14,13,14
3,11,14,13,14
3,12,15,14,15
3,13,15,14,15
3,14,15,15,15
3,15,15,15,15
3,16,12,12,12
3,17,12,12,12
3,18,12,13,12
3,19,12,13,12
3,20,13,14,13
3,21,13,14,13
3,22,13,15,13
3,23,13,15,13
3,24,14,12,14
