case,numeric_checks_pass,keeper_oracle_checks_pass,source_checks_pass,keeper_ms,keeper_min_ms,keeper_max_ms,rounds,n_min,n_max,mean_S_nnz,mean_C_nnz,mean_csr_bytes,free_graph_ms,free_graph_ratio,free_graph_paired_ratios,free_graph_removable_fraction,free_graph_ideal_2x_stage_full_ratio,free_graph_meets_1p10,free_relations_ms,free_relations_ratio,free_relations_paired_ratios,free_relations_removable_fraction,free_relations_ideal_2x_stage_full_ratio,free_relations_meets_1p10,instrumented_overhead_ratio
college_b200_s20,False,True,False,23.735893375,23.542884,23.981603125,3,416,452,523.875,3843.875,83958,23.608732,1.0128804926548924,"[1.0157937802419885, 0.9811490194928897, 1.0128804926548924]",0.012716695353793384,1.0063990349660072,False,23.048756875,1.0352524577170892,"[1.0352524577170892, 1.021438341671952, 1.0411981124799823]",0.034052039629857034,1.0173209262484475,False,1.0595862236004843
college_b200_s40,True,True,True,25.669659625,25.59160475,25.687134375,3,490,522,844.875,5166.75,105124,25.577257,1.0042959014330584,"[1.0042959014330584, 1.0092197843276194, 0.9930711630761188]",0.004277525604683308,1.0021433469129917,False,24.8646505,1.0323756461004752,"[0.9986435700269238, 1.0323756461004752, 1.0419072885445313]",0.03136033499314472,1.0159299518091522,False,1.0207777151232873
college_b200_s80,True,True,True,26.68211975,24.716219,26.80110425,3,599,636,1325.875,8090.125,151898,26.11987875,1.0182812324262895,"[1.0182812324262895, 0.9462608627155283, 1.02774886861875]",0.017953028931634418,1.009057822137261,False,25.32179275,1.058420488415063,"[1.058420488415063, 0.9747521907709905, 1.1262182717668947]",0.05519591604140717,1.0283812217881902,False,1.0291226018502522
college_b32_s128,True,True,True,16.40897725,16.315378875,16.4900035,3,199,224,79.375,551.375,12414,16.1684835,1.016980275271761,"[1.0198856002790861, 1.0024871272451432, 1.016980275271761]",0.016696759695976837,1.0084186620364808,False,16.00436225,1.0294097150643988,"[1.03034430503471, 1.0294097150643988, 1.0242838282001039]",0.028569494375287663,1.0144917582911372,False,1.0846564797327634
college_b32_s256,True,True,True,17.03824575,16.916770875,17.374769,3,268,299,132.875,693,14680,16.992853,1.0024242086661392,"[1.0437763362726216, 1.0024242086661392, 0.9955226985721586]",0.0024183460905886633,1.0012106369148193,False,16.55730575,1.0290469963689595,"[1.0465989546792083, 1.0290469963689595, 1.0254403050006402]",0.028227084352272724,1.0143155858001023,False,1.0660883178070135
college_b32_s512,True,True,True,17.15069125,17.10884025,17.202507,3,351,413,78.375,637.375,13790,16.873203125,1.013965168513314,"[1.03387937648129, 1.013965168513314, 1.0006449523989336]",0.013772828640445156,1.0069341658592947,False,16.695120875,1.0303912819079843,"[1.0303912819079843, 1.0120235557499262, 1.0314996081925465]",0.029494894261632876,1.0149681897173166,False,1.0740389691290138
wikipedia_b200_s20,False,True,False,25.434426875,24.9984755,25.643954875,3,589,681,0,461.75,29844,25.2376595,1.007796577769028,"[1.0163605090257393, 1.007796577769028, 0.9852650537432789]",0.007736261405339784,1.0038831512392015,False,24.421751625,1.0414661186285814,"[1.0532461608778223, 1.0414661186285814, 1.0130286621875813]",0.03981513933759517,1.020311930847247,False,1.0416953763185592
wikipedia_b200_s40,True,True,True,26.998775125,25.933437375,39.05893475,3,747,870,0,588.875,31878,26.302820625,1.026459310578217,"[1.026459310578217, 0.994135340591869, 1.4848348104495703]",0.02577726199717756,1.0130569167809578,False,25.182960625,1.0703535302217724,"[1.0703535302217724, 1.0310745010229068, 1.551006465507667]",0.06572924574481054,1.0339814090660333,False,0.9978103451091282
wikipedia_b200_s80,True,True,True,27.83270875,27.47026975,28.756881,3,964,1079,0,821.125,35594,27.966504,0.9900896584600862,"[1.0282615588991746, 0.7012242519596175, 0.9900896584600862]",-0.010009539494966191,0.9950201532389338,False,26.83179075,1.0532583223765204,"[1.0717466183281115, 1.0532583223765204, 1.0157445045692894]",0.05056529936203202,1.0259384422291673,False,1.045510208380275
wikipedia_b32_s128,True,True,True,16.424251625,16.393364125,16.588182375,3,152,222,0,71.375,4734,16.13712875,1.0158786224594014,"[1.0158786224594014, 1.0412463964607677, 1.0044767225229079]",0.015630432719373366,1.0078767750610051,False,15.84935025,1.0362728670848824,"[1.0624289263683862, 1.0092132819354878, 1.0362728670848824]",0.035003200640503995,1.0178133626741344,False,1.0919851043745805
wikipedia_b32_s256,True,True,True,16.766449375,16.6450945,16.8554155,3,208,270,0,92.25,5068,16.305285875,1.0217048750866997,"[1.0164704252691634, 1.0217048750866997, 1.0282830674380925]",0.021243781463661793,1.0107359265707707,False,16.077769625,1.0428342839873228,"[1.047925241158887, 1.0424566640401856, 1.0428342839873228]",0.041074871285919023,1.0209680659479223,False,1.073937121227851
wikipedia_b32_s512,True,True,True,17.362832875,17.21601525,17.798234875,3,278,378,0,108.875,5334,16.840707375,1.022285754787067,"[1.0569456156457715, 1.0099765446351665, 1.022285754787067]",0.02179992696045041,1.011020081971261,False,16.854430875,1.0344674021192009,"[1.0559973817567423, 1.0206289477018369, 1.0344674021192009]",0.03331898332281058,1.016941732309546,False,1.070507417125617
