case,variant,phase,host_ms_per_step,timeline_ms_per_step,fraction_instrumented_wall,calls_per_step
college_b200_s20,keeper,batch_and_zero_grad,0.13925675,0.12078800145536661,0.004802660749703179,1.0
college_b200_s20,keeper,negative_and_neighbor_sampling,1.30565975,1.2929800152778625,0.051410274983481885,1.0
college_b200_s20,keeper,memory_read,2.736886,2.722703993320465,0.10825763688632774,1.0
college_b200_s20,keeper,gnn_embedding,1.7165335000000002,1.7009320110082626,0.06763088476301742,1.0
college_b200_s20,keeper,query_mapping,0.154229125,0.1389239989221096,0.0055237674998833974,1.0
college_b200_s20,keeper,graph_build,0.13303949999999998,0.12166799884289503,0.004837650391571587,1.0
college_b200_s20,keeper,relation_Q_S_coefficients,0.842756,0.8317719921469688,0.03307214831982124,1.0
college_b200_s20,keeper,seven_channel_aggregation,0.602500625,0.5914679989218712,0.023517403292554803,1.0
college_b200_s20,keeper,decoder_mlp,0.668857875,0.656640000641346,0.026108712121796163,1.0
college_b200_s20,keeper,loss,0.185646,0.17413599975407124,0.006923834495583028,1.0
college_b200_s20,keeper,memory_update,6.3495022500000005,6.337400019168854,0.2519818356169858,1.0
college_b200_s20,keeper,neighbor_insert,0.918544,0.9025560095906258,0.035886596925534565,1.0
college_b200_s20,keeper,backward,8.406964875,8.393495976924896,0.33373442060024844,1.0
college_b200_s20,keeper,optimizer,0.510336625,0.49488000199198723,0.019676960730724547,1.0
college_b200_s20,keeper,detach_and_loss_read,0.113106,0.10051999986171722,0.00399678322415516,1.0
college_b200_s20,source,batch_and_zero_grad,0.134224,0.11662399861961603,0.001855221935647152,1.0
college_b200_s20,source,negative_and_neighbor_sampling,1.2307121250000002,1.2183959931135178,0.01938190251992096,1.0
college_b200_s20,source,memory_read,2.6093919999999997,2.6001639664173126,0.04136268078502782,1.0
college_b200_s20,source,gnn_embedding,1.748164,1.7302960306406021,0.02752506507410825,1.0
college_b200_s20,source,query_mapping,0.149579125,0.13522399961948395,0.002151105546794488,1.0
college_b200_s20,source,source_graph,1.5628906249999999,1.5053959991782904,0.023947418306417705,4.0
college_b200_s20,source,source_Q_A_squared,1.578981625,1.5533119961619377,0.024709652578305492,2.0
